CCF033,COMFASUCRE,830066112.0,GRUPO EMPRESARIAL FARMACEUTICO LTDA,2062091.0,Abril 2024,Evento
CCF033,COMFASUCRE,830120157.0,COLOMBIANA DE TRASPLANTES SAS,26132800.0,Abril 2024,Evento
CCF033,COMFASUCRE,830504734.0,VISION TOTAL S.A.S,1143504.0,Abril 2024,Evento
CCF033,COMFASUCRE,830510991.0,CLÍNICA ESPECIALIZADA LA CONCEPCIÓN S.A.S,371024820.0,Abril 2024,Evento
CCF033,COMFASUCRE,830511549.0,RESONANCIA E IMÁGENES SANTA MARIA S.A,59261812.0,Abril 2024,Evento
CCF033,COMFASUCRE,839000356.0,SOCIEDAD MEDICA CLINICA MAICAO S.A,1653850.0,Abril 2024,Evento
CCF033,COMFASUCRE,860006745.0,CONGREGACION DE LAS HERMANAS DE LA CARIDAD DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN,2320663.0,Abril 2024,Evento
CCF033,COMFASUCRE,860013779.0,ASOCIACIÓN PROFAMILIA,5543140.0,Abril 2024,Evento
CCF033,COMFASUCRE,860037592.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTA ROSA DE TENJO,4695642.0,Abril 2024,Evento
CCF033,COMFASUCRE,890480113.0,HOSPITAL REGIONAL NUESTRA SEÑORA DE LAS MERCEDES DE COROZAL E.S.E.,108166255.0,Abril 2024,Evento
CCF033,COMFASUCRE,890480135.0,FUNDACION HOSPITAL INFANTIL NAPOLEON FRANCO PAREJA,56478723.0,Abril 2024,Evento
CCF033,COMFASUCRE,890900518.0,FUNDACION HOSPITALARIA SAN VICENTE DE PAUL,35513459.0,Abril 2024,Evento
CCF033,COMFASUCRE,890904646.0,HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ EMPRESA SOCIAL DEL ESTADO,64849949.0,Abril 2024,Evento
CCF033,COMFASUCRE,890980757.0,ESE HOSPITAL CESAR URIBE PIEDRAHITA,2076523.0,Abril 2024,Evento
CCF033,COMFASUCRE,890981137.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO VALDERRAMA,2789015.0,Abril 2024,Evento
CCF033,COMFASUCRE,890981374.0,FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA,16069971.0,Abril 2024,Evento
CCF033,COMFASUCRE,890981726.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS YARUMAL,4426186.0,Abril 2024,Evento
CCF033,COMFASUCRE,890985603.0,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,19573502.0,Abril 2024,Evento
CCF033,COMFASUCRE,890985703.0,E.S.E. HOSPITAL MARCO FIDEL SUAREZ,5415869.0,Abril 2024,Evento
