CCF033,COMFASUCRE,830066112.0,GRUPO EMPRESARIAL FARMACEUTICO LTDA,Evento,2062091.0,Abril 2024,Evento
CCF033,COMFASUCRE,830120157.0,COLOMBIANA DE TRASPLANTES SAS,Evento,26132800.0,Abril 2024,Evento
CCF033,COMFASUCRE,830504734.0,VISION TOTAL S.A.S,Evento,1143504.0,Abril 2024,Evento
CCF033,COMFASUCRE,830510991.0,CLÍNICA ESPECIALIZADA LA CONCEPCIÓN S.A.S,Evento,371024820.0,Abril 2024,Evento
CCF033,COMFASUCRE,830511549.0,RESONANCIA E IMÁGENES SANTA MARIA S.A,Evento,59261812.0,Abril 2024,Evento
CCF033,COMFASUCRE,839000356.0,SOCIEDAD MEDICA CLINICA MAICAO S.A,Evento,1653850.0,Abril 2024,Evento
CCF033,COMFASUCRE,860006745.0,CONGREGACION DE LAS HERMANAS DE LA CARIDAD DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN,Evento,2320663.0,Abril 2024,Evento
CCF033,COMFASUCRE,860013779.0,ASOCIACIÓN PROFAMILIA,Evento,5543140.0,Abril 2024,Evento
CCF033,COMFASUCRE,860037592.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTA ROSA DE TENJO,Evento,4695642.0,Abril 2024,Evento
CCF033,COMFASUCRE,890480113.0,HOSPITAL REGIONAL NUESTRA SEÑORA DE LAS MERCEDES DE COROZAL E.S.E.,Evento,108166255.0,Abril 2024,Evento
CCF033,COMFASUCRE,890480135.0,FUNDACION HOSPITAL INFANTIL NAPOLEON FRANCO PAREJA,Evento,56478723.0,Abril 2024,Evento
CCF033,COMFASUCRE,890900518.0,FUNDACION HOSPITALARIA SAN VICENTE DE PAUL,Evento,35513459.0,Abril 2024,Evento
CCF033,COMFASUCRE,890904646.0,HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ EMPRESA SOCIAL DEL ESTADO,Evento,64849949.0,Abril 2024,Evento
